NUMERO,,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,Anuario 2010,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
Fecha,,August-14,July-14,June-14,May-14,April-14,March-14,February-14,November-13,October-13,September-13,August-13,July-13,June-13,May-13,April-13,January-13,December-12,November-12,October-12,September-12,August-12,July-12,June-12,May-12,April-12,March-12,February-12,December-11,November-11,October-11,September-11,August-11,July-11,June-11,May-11,April-11,March-11,February-11,,December-10,November-10,October-10,September-10,August-10,July-11,June-10,May-10,April-10,March-10,February-10,January-10,November-09,October-09,September-09,August-09,July-09,June-09,May-09,April-09,March-09,January-09,September-09,August-08,May-08,March-08,September-07,April-07,December-06,September-06,July-06,May-06,,,,May-05,March-05,January-05,,May-04,verano 2004 (?),August-03,April-03,,August-02,
Tapa,,JUDAS PRIEST,MOTORHEAD,TARJA-ARCH ENEMY-ANNEKE-EPICA,MEGADETH-NIN-GUNS N` ROSES-SOUNDGARDEN,METALLICA,HERMETICA 20º ANIVERSARIO,AC DC,BLACK SABBATH-MEGADETH-ALICE IN CHAINS-KORN,IRON MAIDEN,METALLICA,MOTLEY CRUE,BLACK SABBATH,ALICE IN CHAINS,VARIOS (A Perfect Circle-Down-Anthrax-Testament-Pearl Jam-Accept-Carcass-Tomahawk-Cradle of Filth-Saxon-QOTSA),DOWN,V8,ZAKK WYLDE-SLASH,SLAYER-MANSON-STONE SOUR-MASTODON,MEGADETH,DEEP PURPLE,TESTAMENT-OVERKILL-KREATOR,KING DIAMOND,PANTERA,OPETH,RANDY RHOADS,MAX CAVALERA,LAMB OF GOD,PHIL ANSELMO (DOWN),SYSTEM OF A DOWN-FAITH NO MORE,MACHINE HEAD,SCOTT IAN,MALON,"ACERO ARGENTINO ""los 30 mejores discos nacionales""",SLAYER,IRON MAIDEN-MOTORHEAD-SLASH (Caricaturas),OZZY-AMON AMARTH-AV7,RICARDO IORIO,SLIPKNOT,METALLICA-MEGADETH-RAMMSTEIN-IORIO,PANTERA,ANTHRAX-HALFORD-RATM-RUSH,ZAKK WYLDE,IRON MAIDEN,JUDAS PRIEST,OZZY,DIO,MEGADETH,GUNS N´ ROSES vs SLASH,50 DISCOS DE LA DECADA,METALLICA,AC/DC,HERMETICA,SLAYER,MEGADETH,LOS 50 MEJORES GUITARRISTAS,MASTODON,HEAVEN AND HELL,LEMMY-IORIO,IRON MAIDEN,KISS,GUNS N´ ROSES,METALLICA,IORIO,OZZY,IRON MAIDEN,MEGADETH,HEAVEN AND HELL,MOTORHEAD,SLAYER,PANTERA,IORIO,,,,SYSTEM OF A DOWN,JUDAS PRIEST,ANTHRAX,,SLIPKNOT,IRON MAIDEN,METALLICA,AUDIOSLAVE,,CRADLE OF FILTH,
Poster,,Black Label Society,Arch Enemy,De la Tierra,,Avenged Sevenfold,Gojira,,Black Sabbath,Carcass,Vista Chino,,Beto & Ricardo,,Hypocrisy-Annihilator,Testament,,Almafuerte,,,In Flames,At The Gates,,Cannibal Corpse,,EPICA,Amon Amarth,Down,,,Judas Priest,Disturbed,Zakk Wylde,Slayer,,Iron Maiden-Motrhead-Slash,Tarja,Opeth,Overkill,,Rammstein,,Lamb of God,Behemoth,Slipknot,,,,,,,Personajes 2009,,,Alice in Chains,,Dream Theater,Anthrax,Lemmy,Carcass,Lamb of God-Kreator,,Slipknot,Megadeth,Ozzy-Black Label Society,Iron Maiden,Nightwish,Machine Head,Arch Enemy-Lacuna Coil,Iron Maiden,Pantera-Mastodon,Metallica,,,,,,,,,,,,,,
Conociendo a Jedbangers,,Debut: Malon vs Almafuerte,Iron Maiden vs Killers,QOSTA: idem vs Songs for the deaf,Nirvana: Nevermind vs In Utero,Metallica. Ride the lighting vs Master of Puppets,Metalcore: Killswitch Engage vs Lamb of God,"Queensryche ""Operation.."" vs Deram Theater ""Metropolis""",Led Zeppelin vs Deep Purple,Bill Steer vs Mike Amott,X Factor (Maiden) vs Juglator (Judas),Sepultura con Green vs Soulfly,Banda que nunca vino a Arg,Rata con Barilari o Saul Blanch?,mejor disco de Maiden,Irias a ver a Slayer sin Hanneman y Lombardo?,El mejor debut thrash,Ozzy: Blizzard of Ozz vs Diary of madman,Marciello vs Giardino,Tema favorito de Countdown to Extinction,Entombed Wolverine Blues vs Carcass Hertwork,Sep: Arise vs Chaos AD,Disco Preferido Judas Priest,El peor tema del album negro Metallica,Axl Rose…,Mother de Pink Floyd o Mother de Danzig,Bush vs Belladonna,Ministry vs Nine inch nails,Dio vs Halford,Back in Black vs Highway to hell,Kyuss vs Queen of Stone Age,Slash vs Ace Frehely,Korn vs Deftones,Motorhead vs Ramones,Exodus vs Testament,Countdown to Extintion vs Album Negro,Alice in Chains vs Soundgarden,Judas Priest vs Iron Maiden,Reign in blood vs Seasosn in the abyss,,El disco que mas huevo le pusiste para que te guste,Instrumenal Favorito,Documental Favorito,Disco favorito,,Disco debut preferido,Vocalista Femenina preferida,Una Tapa Favorita,Cover Preferido,Bajista Preferido,Disco Desilusion,El peor show de tu vida,Herejias Metalicas,Banda Sueca Favorita,Canción preferida de Sabbath,Remera rockera faoprita,Disco Nacional Preferido,Disco pirata predilecto,Disco con mejores recuerdos,La mejor edicion de tu discoteca,el disco que nadie imagina tenes,el disco que nunca debió editarse,Disco que te gustaria tener,el disco que te gusto solo a vos,,,,,,,,,,,,,,,,,,,,,,
Discografía Seleccionada,,Mayhem,Almafuerte,Yes,Ramones,Michael Schenker Group,Alice Cooper,Motorhead,King Crimson,Nightwish,Dokken,Overkill,Steve Vai,Ministry,Black Label Society,Enslaved,Angra,Spiritual Beggars,Trouble,,Suicidal Tendencies,Biohazard,Danzig,Entombed,Stratovarius,Kreator,Exodus,Rush,Annihilator,Van Halen,Dark Tranquility,Queensryche,Blind Guardian,Type o Negative,Darkthrone,Paradise Lost,King Diamond,Therion,Motley Crue,,Porcupine Tree,Deicide,Def Leppard,Cradle of Filth,Carcass,Cathedral,Monster Magnet,Mercyful Fate,Sentenced,Anthrax,DRI (Dirty Rotten Imbeciles),Skidrow,Mastodon,Manowar,Death,Turbonegro,Electric Wizard,Death Angel,The Dillinger Escape Plan,High on Fire,Tool,,,,,,,,,,,,,,,,,,,,,,,,,
En que estaban pensando?,,Nightwish: echan a Tarja!,Jerry Only canta en Misfits,Stuka y Piltrafa: Stuka@Pil,Danzig: disco de música clásica,The Hunted: Unseen…,Thomas Holapainen: Tio Rico…,Vanila Ice: disco de Nü Metal,Mötley Crue,Dee Dee Ramone: disco de pop,Malon sin O´Connor,Metallica con Ja Rule…,Rata Blanca VII,Pete Steel muere… de mentira,Cabezones toca con Maiden,Metallica se niega a los solos en St Anger,Entombed toca con un ballet,Rob Halford y el mono…,Cantante de Iced Earth se hace cana…,,David Lee Rothsonrie en español,LA Guns anda en Bici…,Los videos post Ozzy de Sabbath,Sleep,Pete Steele desnudo…,Marylin Manson con tetas,"Pradist Lost ""Host""",Tapa de Reinventing the steel,David Lee Roth EP,Guns n´roses y el videod e Extranged,Iron Maiden elige a Blaze Bayley,Celtic Frost 1998,,Slash 1996-2007,Timo Tolkki 2004,Jedbangers 2009,Cryptosy 2008,Exodus 1992,Fear Factory 2002,,,,,,,,,,,,,,,,,,,Machine Head Traiciona al Thrash,Metallica se corta pelo…,Megadeth: Risk…,Sepultura: se va max,,,,,,,,,,,,,,,,,,,,,,,,,
Antifogón,,,,,,,,,,,,,,Metallica,Kyuss,Machine Head,Danzig,Type o Negative,Anthrax,,Dio,Guns N´ Roses,Faith No More,Alice In Chains,Motorhead,Ozzy Osbourne,Ramones,Iron Maiden,Black Sabbath (c/Ozzy),Kiss,Slayer,AC DC,Withesnake,Deep Purple,Black Sabbath,Jusda Priest,,Sepultura,Megadeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detector de Metal,,Corrections House-Bandera de Niebla-Anti Mortem,,Subrosa-Tesseract-Oranssi Pazuzu,Beastmilk-Noisem-Inter Arma,Menace-The Gravitators-Iron Spell,Iron Reagan-Purson-Lxs Jugadxs,Caronte-California X-Posthum,Gozu-Noctum-Powertrip,Man´s Gin-Feed the Rhino-Kraków,Bombus-Ramming Speed-Rechazo,Age of  Taurus-Screamer-Destroy the humans,Zuul-Procession-Fosil,,,,,,,,,,,,,,,,,,,,,,,,,,Ghost-Eibon-Eva,,,Random-Holy Grail-Sulphur,Dawnbringer-Portal-The Union,,Barren Earth-Fornax Chemica-Beanside,Demians-Nefarium-Audrey Horne,Texas Hippie Coallition-We are the Fallen-Havoc,White Wizzard-Sybreed-Howl,Amaranthe-Sylosis-Mutiny Within,Vektor-Bethlehem-Angst Skvdron,Ulcerate-The sign of the southern cross-The Amenta,Diablo Boulevard-Keelhaul-Mustasch,Redepmtion-DeadxHead-Steel Panther,Ahab-Dynahead-Outloud,Revocation-Narrows-Ahab,Red Fang-Ex Deo-Slogh Feg,Volbeat-Chickenfoot-Bleed from Within,Portrait-Wetnurse-Luna Mortis,Alchemist-The Devils Blood-Magician,Night Horse-Conducting from the grave-Bison B.C.,This is hell-Grayceon-Municipal Waste,,,,,,,,,,,The Sword-Twilight-Anomalia,,,,Minus the bear-Trivium-Burst-Cable,YOB-ZAO-The eagles of death metal-J Church,,,The Locust-Escualo-Avenged Sevenfold-From Autumn to ashes,,Mondo Generator-The Flaming Sideburns-Mnemic-The Berzeker,CKY-Breed 77-Buffalo-Sikth,,Tenacious D-Scar Culture-Medication-Mastodon,
Dime como te llamas…,,,,,,,,,,,,,,Sun O))),H.I.M.,Queensryche,Quiet Riot,Tiamat,Atheist,Job for a Cowboy,Dimmu Borgir,Kyuss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dias de Gloria,,Cuaderno de viaje Tribal Pt 3,Cuaderno de viaje Tribal Pt 2,Cuaderno de viaje Tribal Pt 1,El Pogo,Pantera seune a la Tribu,Soulfly Evoluciona como un Pokemon,Nace Soulfly Parte I,Alguien quiere un trago de sangre de Serpiente,Sepultura en Indonesia,Los Deftones se unen a la tribu,Escuela de Tours,Un nuevo hogar,The Bootleggers,Como conocí a Max Pt 2,Como conocí a Max Pt 1,La navidad de 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
